"","date","median","lower_50","upper_50"
"82",2019-11-21,1.87773145108203,1.77695097962435,1.93181798726518
"83",2019-11-22,1.87773145108203,1.77695097962435,1.93181798726518
"84",2019-11-23,1.87773145108203,1.77695097962435,1.93181798726518
"85",2019-11-24,1.87773145108203,1.77695097962435,1.93181798726518
"86",2019-11-25,1.87773145108203,1.77695097962435,1.93181798726518
"87",2019-11-26,1.87773145108203,1.77695097962435,1.93181798726518
"88",2019-11-27,1.87773145108203,1.77695097962435,1.93181798726518
"89",2019-11-28,1.87773145108203,1.77695097962435,1.93181798726518
"90",2019-11-29,1.87773145108203,1.77695097962435,1.93181798726518
"91",2019-11-30,1.87773145108203,1.77695097962435,1.93181798726518
"92",2019-12-01,1.87773145108203,1.77695097962435,1.93181798726518
"93",2019-12-02,1.87773145108203,1.77695097962435,1.93181798726518
